Type,EV,Index,x1,p1,x2,p2,Realization,Allocation,A_or_B,payoff
A1,25,Lotere_1,25,1,0,0,,0,X,
A1,25,Lotere_2,24,0.5,26,0.5,,0,X,
A1,25,Lotere_3,23,0.5,27,0.5,,0,X,
A1,25,Lotere_4,22,0.5,28,0.5,,0,X,
A1,25,Lotere_5,21,0.5,29,0.5,,0,X,
A1,25,Lotere_6,20,0.5,30,0.5,,0,X,
A1,25,Lotere_7,19,0.5,31,0.5,,0,X,
A1,25,Lotere_8,18,0.5,32,0.5,,0,X,
A1,25,Lotere_9,17,0.5,33,0.5,,0,X,
A1,25,Lotere_10,16,0.5,34,0.5,,0,X,
A1,25,Lotere_11,15,0.5,35,0.5,,0,X,
A1,25,Lotere_12,14,0.5,36,0.5,,0,X,
A1,25,Lotere_13,13,0.5,37,0.5,,0,X,
A1,25,Lotere_14,12,0.5,38,0.5,,0,X,
A1,25,Lotere_15,11,0.5,39,0.5,,0,X,
A1,25,Lotere_16,10,0.5,40,0.5,,0,X,
A1,25,Lotere_17,9,0.5,41,0.5,,0,X,
A1,25,Lotere_18,8,0.5,42,0.5,,0,X,
A1,25,Lotere_19,7,0.5,43,0.5,,0,X,
A1,25,Lotere_20,6,0.5,44,0.5,,0,X,
A1,25,Lotere_21,5,0.5,45,0.5,,0,X,
